Tag,client_id,msg_size,repetitions,worker_count,Throughput_in_MiB/second,bytes_received,delta_us,lib,protocoll
G,1,4,8192,zmq-1,0.078,10647,129515,zmq,tcp
G,1,4,8192,zmq-1,0.077,10647,132130,zmq,tcp
G,1,4,8192,zmq-1,0.074,10647,137667,zmq,tcp
G,1,4,8192,zmq-1,0.074,10647,136586,zmq,tcp
G,1,4,8192,zmq-1,0.070,10647,144097,zmq,tcp
G,1,4,8192,zmq-1,0.070,10647,145031,zmq,tcp
G,1,4,8192,zmq-1,0.069,10647,146515,zmq,tcp
G,1,4,8192,zmq-1,0.072,10647,141540,zmq,tcp
G,1,4,8192,zmq-1,0.072,10647,140899,zmq,tcp
G,1,4,8192,zmq-1,0.076,10647,134056,zmq,tcp
G,1,8,8192,zmq-1,0.069,10647,146552,zmq,tcp
G,1,8,8192,zmq-1,0.076,10647,133484,zmq,tcp
G,1,8,8192,zmq-1,0.076,10647,133209,zmq,tcp
G,1,8,8192,zmq-1,0.074,10647,137221,zmq,tcp
G,1,8,8192,zmq-1,0.077,10647,131583,zmq,tcp
G,1,8,8192,zmq-1,0.085,10647,119555,zmq,tcp
G,1,8,8192,zmq-1,0.093,10647,109404,zmq,tcp
G,1,8,8192,zmq-1,0.098,10647,103996,zmq,tcp
G,1,8,8192,zmq-1,0.098,10647,103166,zmq,tcp
G,1,8,8192,zmq-1,0.098,10679,103714,zmq,tcp
G,1,16,8192,zmq-1,0.125,12285,94040,zmq,tcp
G,1,16,8192,zmq-1,0.117,12285,99761,zmq,tcp
G,1,16,8192,zmq-1,0.120,12285,97733,zmq,tcp
G,1,16,8192,zmq-1,0.125,12285,93398,zmq,tcp
G,1,16,8192,zmq-1,0.123,12285,95076,zmq,tcp
G,1,16,8192,zmq-1,0.126,12285,93079,zmq,tcp
G,1,16,8192,zmq-1,0.128,12285,91217,zmq,tcp
G,1,16,8192,zmq-1,0.130,12285,89902,zmq,tcp
G,1,16,8192,zmq-1,0.128,12285,91404,zmq,tcp
G,1,16,8192,zmq-1,0.136,12669,89027,zmq,tcp
